preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
2,0.595600699998613,9.99933540000347,13.999559200005,16.5949961000006,3,26,L1_H0_S2,L3_H0_S1
1,0.580161699996097,13.999559200005,17.9994714999993,20.5790061000007,26,17,L3_H0_S1,L2_H0_S3
2,0.580308000004152,17.9994714999993,21.9995701000007,24.5789797000034,17,20,L2_H0_S3,L2_H1_S1
1,0.700006400002167,21.9995701000007,26.0004154000053,28.6989496000024,20,35,L2_H1_S1,L3_H1_S3
1,0.723866799999087,26.0004154000053,29.9995187000022,32.7229009000002,35,28,L3_H1_S3,L3_H0_S2
2,0.707681399995636,29.9995187000022,33.9993281999996,36.7069597000009,28,29,L3_H0_S2,L3_H0_S3
2,0.679947600001469,33.9993281999996,37.9955296000044,40.6749572000044,29,9,L3_H0_S3,L1_H1_S2
0,NaN,37.9955296000044,41.9957272000029,1.49777829999948,9,42,L1_H1_S2,
2,0.871819199994206,41.9957272000029,45.9953498000032,48.8669093999997,42,32,,L3_H1_S1
2,0.859907500002009,45.9953498000032,49.999399100001,52.8588898000016,32,27,L3_H1_S1,L3_H0_S2
0,NaN,49.999399100001,53.9983078000005,1.49351149999711,27,37,L3_H0_S2,
2,0.915615799996885,53.9983078000005,57.9994793000005,60.9146121000013,37,36,,L3_H1_S3
1,0.619752300000982,57.9994793000005,61.9999176000056,64.6188049000048,36,4,L3_H1_S3,L1_H0_S2
2,0.963805500003218,61.9999176000056,66.0006323000052,68.9627908000039,4,15,L1_H0_S2,L2_H0_S2
2,0.835710999999719,66.0006323000052,69.9993603000039,72.834777600001,15,5,L2_H0_S2,L1_H0_S3
2,0.851633099999162,69.9993603000039,73.999166900001,76.8507694,5,1,L1_H0_S3,L1_H0_S1
1,0.859856900002342,73.999166900001,77.9994936000003,80.8586799000041,1,8,L1_H0_S1,L1_H1_S1
2,0.739735900002415,77.9994936000003,81.999813500006,84.7387818000061,8,13,L1_H1_S1,L2_H0_S1
2,1.33204109999497,81.999813500006,86.0004335000049,89.3307280000008,13,2,L2_H0_S1,L1_H0_S1
1,0.6957665000009,86.0004335000049,89.9953705000007,92.6907208000048,2,22,L1_H0_S1,L2_H1_S2
2,0.735557799998787,89.9953705000007,93.9955422000057,96.7306257000018,22,33,L2_H1_S2,L3_H1_S2
1,0.619795600003272,93.9955422000057,97.9954150000049,100.618707100002,33,16,L3_H1_S2,L2_H0_S2
0,NaN,97.9954150000049,101.999106400006,1.49244620000536,16,40,L2_H0_S2,
1,0.699844599999778,101.999106400006,106.000150500004,108.698614300003,40,14,,L2_H0_S1
2,0.603678300001775,106.000150500004,109.999272200002,112.602714600005,14,30,L2_H0_S1,L3_H0_S3
2,0.851548500002536,109.999272200002,113.999210599999,116.850621500002,30,25,L3_H0_S3,L3_H0_S1
1,0.827578500000527,113.999210599999,117.999322900003,120.826552300001,25,24,L3_H0_S1,L2_H1_S3
2,0.803643300001568,117.999322900003,122.000078200006,124.802655300002,24,18,L2_H1_S3,L2_H0_S3
1,0.940016900000046,122.000078200006,126.000283200003,128.938575,18,19,L2_H0_S3,L2_H1_S1
1,0.811531699997431,126.000283200003,129.999451600001,132.810606200001,19,11,L2_H1_S1,L1_H1_S3
1,0.891316099994583,129.999451600001,133.999378,136.8905829,11,6,L1_H1_S3,L1_H0_S3
2,0.711419399995066,133.999378,137.999555100003,140.706540200001,6,31,L1_H0_S3,L3_H1_S1
0,NaN,137.999555100003,141.995329400001,1.49667390000104,31,38,L3_H1_S1,
2,0.55944200000522,141.995329400001,145.995521500001,148.554498100006,38,10,,L1_H1_S2
2,0.683228499998222,145.995521500001,149.999343700001,152.682338099999,10,34,L1_H1_S2,L3_H1_S2
0,NaN,149.999343700001,153.998563900001,1.49355499999365,34,39,L3_H1_S2,
1,0.619321199999831,153.998563900001,157.999369800003,160.618245199999,39,23,,L2_H1_S3
2,0.699314900004538,157.999369800003,162.000485600001,164.698388100005,23,21,L2_H1_S3,L2_H1_S2
0,NaN,162.000485600001,165.999381000001,1.49354799999855,21,41,L2_H1_S2,
1,0.67527500000142,165.999381000001,169.9991868,172.674475600004,41,12,,L1_H1_S3
0,NaN,169.9991868,173.998477500005,1.49343170000066,12,43,L1_H1_S3,
2,0.883387199995923,173.998477500005,177.9995585,180.882368099999,43,7,,L1_H1_S1
2,0.779156199998397,177.9995585,182.000715100003,184.778243300003,7,26,L1_H1_S1,L3_H0_S1
0,NaN,182.000715100003,185.999094300001,1.49355210000067,26,39,L3_H0_S1,
1,0.999305400000594,185.999094300001,189.995224000006,192.994430900006,39,34,,L3_H1_S2
1,0.711328099998354,189.995224000006,193.995512300004,196.706316399999,34,4,L3_H1_S2,L1_H0_S2
2,0.870913300001121,193.995512300004,197.995386100003,200.866241600001,4,8,L1_H0_S2,L1_H1_S1
2,0.707434900003136,197.995386100003,202.000782400006,204.706345500003,8,19,L1_H1_S1,L2_H1_S1
1,0.731471200000669,202.000782400006,206.000209000005,208.730252600006,19,17,L2_H1_S1,L2_H0_S3
1,0.787143299996387,206.000209000005,209.999361100003,212.786406300002,17,5,L2_H0_S3,L1_H0_S3
2,0.571127299997897,209.999361100003,213.999174900004,216.570241000001,5,23,L1_H0_S3,L2_H1_S3
1,0.57879949999915,213.999174900004,217.999683000002,220.5782464,23,15,L2_H1_S3,L2_H0_S2
0,NaN,217.999683000002,222.000236800006,1.49246649999986,15,41,L2_H0_S2,
2,0.475189699995099,222.000236800006,226.000338100006,228.4739654,41,29,,L3_H0_S3
2,0.602987999998732,226.000338100006,229.999174000004,232.602221300003,29,14,L3_H0_S3,L2_H0_S1
1,0.754811699996935,229.999174000004,233.999347900004,236.754029600001,14,36,L2_H0_S1,L3_H1_S3
0,NaN,233.999347900004,237.998644800005,1.49292309999873,36,40,L3_H1_S3,
2,1.17511899999954,237.998644800005,241.995542500001,245.170038600001,40,10,,L1_H1_S2
0,NaN,241.995542500001,245.995273300003,1.49667849999969,10,37,L1_H1_S2,
2,1.13097310000012,245.995273300003,249.995372000005,253.130188900002,37,21,,L2_H1_S2
1,0.978692600001523,249.995372000005,253.999655,256.977992600005,21,28,L2_H1_S2,L3_H0_S2
2,0.867181000001438,253.999655,257.999444000001,260.866059100001,28,33,L3_H0_S2,L3_H1_S2
1,0.754943799998728,257.999444000001,262.0005695,264.754162700003,33,32,L3_H1_S2,L3_H1_S1
1,0.731211300000723,262.0005695,266.000152700006,268.730176500001,32,24,L3_H1_S1,L2_H1_S3
1,0.834705100001884,266.000152700006,269.999230300004,272.834062900001,24,3,L2_H1_S3,L1_H0_S2
0,NaN,269.999230300004,273.998391200003,1.49354769999627,3,43,L1_H0_S2,
1,0.763211799996498,273.998391200003,277.9996646,280.762062100002,43,11,,L1_H1_S3
2,0.594861399993533,277.9996646,282.000710200002,284.594024099999,11,30,L1_H1_S3,L3_H0_S3
2,0.802869300001475,282.000710200002,286.000194500004,288.801891000003,30,25,L3_H0_S3,L3_H0_S1
1,0.766942999995081,286.000194500004,289.999284100006,292.7619624,25,18,L3_H0_S1,L2_H0_S3
1,0.622702000000572,289.999284100006,293.995402300003,296.6177885,18,16,L2_H0_S3,L2_H0_S2
1,1.00666700000147,293.995402300003,297.995349299999,301.001894400004,16,12,L2_H0_S2,L1_H1_S3
2,0.514793700000155,297.995349299999,302.000868100004,304.513971100001,12,1,L1_H1_S3,L1_H0_S1
1,1.04305079999904,302.000868100004,306.000040400002,309.041845400003,1,2,L1_H0_S1,L1_H0_S1
0,NaN,306.000040400002,309.9983078,1.49356740000076,2,42,L1_H0_S1,
1,1.02668750000157,309.9983078,313.999491499999,317.025810800005,42,22,,L2_H1_S2
1,0.67473279999831,313.999491499999,317.999643900002,320.6739198,22,6,L2_H1_S2,L1_H0_S3
2,0.762796700000763,317.999643900002,322.001025400001,324.761785200004,6,27,L1_H0_S3,L3_H0_S2
2,1.02707709999959,322.001025400001,325.9995242,329.025829300001,27,20,L3_H0_S2,L2_H1_S1
1,0.842558900003496,325.9995242,329.999198100006,332.841844100003,20,31,L2_H1_S1,L3_H1_S1
2,0.610885200003395,329.999198100006,333.999448400005,336.609829400004,31,9,L3_H1_S1,L1_H1_S2
1,0.922577999997884,333.999448400005,337.999680000001,340.9217298,9,7,L1_H1_S2,L1_H1_S1
2,0.782712599997467,337.999680000001,341.995864700002,344.777745300002,7,13,L1_H1_S1,L2_H0_S1
1,0.70281740000064,341.995864700002,345.995355200001,348.697836700005,13,35,L2_H0_S1,L3_H1_S3
0,NaN,345.995355200001,349.9953991,1.49667849999969,35,38,L3_H1_S3,
