preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
0,NaN,10.0059401000617,14.0059660000261,1.48577430006117,42,27,,L3_H0_S2
1,0.927971300086938,14.0059660000261,18.0060118000256,20.9339467000682,27,15,L3_H0_S2,L2_H0_S2
1,0.919874899904244,18.0060118000256,22.0060334000736,24.9258769999724,15,4,L2_H0_S2,L1_H0_S2
2,0.727829199982807,22.0060334000736,26.0060692999978,28.7338552000001,4,29,L1_H0_S2,L3_H0_S3
0,NaN,26.0060692999978,30.006025300012,1.48567690001801,29,43,L3_H0_S3,
1,0.80777999991551,30.006025300012,34.0061006000033,36.8138579999795,43,23,,L2_H1_S3
1,0.967655099928379,34.0061006000033,38.0061728999717,40.9737929999828,23,6,L2_H1_S3,L1_H0_S3
1,0.687648100079969,38.0061728999717,42.006202599965,44.6938199000433,6,20,L1_H0_S3,L2_H1_S1
2,1.0156452000374,42.006202599965,46.0062343999743,49.0218524000375,20,18,L2_H1_S1,L2_H0_S3
0,NaN,46.0062343999743,50.0062691000057,1.4854830999393,18,41,L2_H0_S3,
2,0.895461000036448,50.0062691000057,54.006310799974,56.9017477000598,41,30,,L3_H0_S3
1,0.695110999979079,54.006310799974,58.0063361000502,60.7015358000062,30,31,L3_H0_S3,L3_H1_S1
0,NaN,58.0063361000502,62.0063681000611,1.48532290000003,31,40,L3_H1_S1,
1,0.935297299991362,62.0063681000611,66.0064002000727,68.9416732999962,40,32,,L3_H1_S1
1,0.799269199953415,66.0064002000727,70.0064376000082,72.8057388999732,32,14,L3_H1_S1,L2_H0_S1
1,0.519207400036976,70.0064376000082,74.0064754000632,76.5256635000696,14,2,L2_H0_S1,L1_H0_S1
2,0.767180899973027,74.0064754000632,78.0064756000647,80.7736507999944,2,7,L1_H0_S1,L1_H1_S1
2,1.19120929995552,78.0064756000647,82.0065068000695,85.1976970999967,7,21,L1_H1_S1,L2_H1_S2
1,0.638955999980681,82.0065068000695,86.00657279999,88.6455492000096,21,13,L2_H1_S2,L2_H0_S1
2,0.646991700050421,86.00657279999,90.006596900057,92.6535672000609,13,24,L2_H0_S1,L2_H1_S3
0,NaN,90.006596900057,94.0066388000268,1.48506500001531,24,37,L2_H1_S3,
1,0.654914899962023,94.0066388000268,98.0066833000164,100.661556700012,37,3,,L1_H0_S2
2,0.830948600079864,98.0066833000164,102.006710599991,104.837626900058,3,25,L1_H0_S2,L3_H0_S1
1,0.790734999929555,102.006710599991,106.006739599979,108.797483999981,25,26,L3_H0_S1,L3_H0_S1
1,0.622705799993128,106.006739599979,110.006775800022,112.629448199994,26,5,L3_H0_S1,L1_H0_S3
2,0.886703799944371,110.006775800022,114.006810100051,116.893500000006,5,33,L1_H0_S3,L3_H1_S2
1,0.670568099943921,114.006810100051,118.006843600073,120.677440400003,33,1,L3_H1_S2,L1_H0_S1
2,0.982421599910595,118.006843600073,122.00687859999,124.989293299965,1,34,L1_H0_S1,L3_H1_S2
1,0.518554699956439,122.00687859999,126.006910600001,128.52540839999,34,8,L3_H1_S2,L1_H1_S1
2,0.782540099928156,126.006910600001,130.006913500023,132.789426299976,8,19,L1_H1_S1,L2_H1_S1
2,0.566476300009526,130.006913500023,134.006935400073,136.573412299971,19,35,L2_H1_S1,L3_H1_S3
1,0.654295300017111,134.006935400073,138.007089899969,140.661282200017,35,9,L3_H1_S3,L1_H1_S2
2,0.734336300054565,138.007089899969,142.007027400075,144.741350200027,9,17,L1_H1_S2,L2_H0_S3
2,0.942176999989897,142.007027400075,146.007075399975,148.949225499993,17,12,L2_H0_S3,L1_H1_S3
2,0.758191999979317,146.007075399975,150.007111000014,152.7652887,12,28,L1_H1_S3,L3_H0_S2
1,0.662142399931327,150.007111000014,154.007151299971,156.669261000003,28,11,L3_H0_S2,L1_H1_S3
2,0.742127500008792,154.007151299971,158.007178600063,160.749277999974,11,22,L1_H1_S3,L2_H1_S2
1,0.678122700075619,158.007178600063,162.007213199977,164.685305700055,22,36,L2_H1_S2,L3_H1_S3
1,0.758019100059755,162.007213199977,166.007282000035,168.765251500066,36,10,L3_H1_S3,L1_H1_S2
0,NaN,166.007282000035,170.007274299976,1.48447809997015,10,39,L1_H1_S2,
0,NaN,170.007274299976,174.007307499996,1.4844137999462,39,38,,
